[0m[ INFO] [1340027441.927965909]: loading parameters...[0m
[0m[ INFO] [1340027441.986326822]: creating SLAM object...[0m
[0m[ INFO] [1340027441.986763323]: initializing...[0m
[0m[ INFO] [1340027441.987001290]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027442.128931117, 1339759399.891477919]: ...[0m
[0m[ INFO] [1340027442.130465741, 1339759399.891477919]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.122123022, 1339759400.402748933]: ...[0m
[0m[ INFO] [1340027464.122354412, 1339759400.402748933]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.225220903, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227333253, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227361398, 1339759400.500761904]: waiting for transform between /pioneer1/base_link and /pioneer1/right...[0m
[0m[ INFO] [1340027464.227396298, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227432942, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227596074, 1339759400.511073192]: camera pose: x: 0.060000, y: -0.090000, z: 0.535000[0m
[0m[ INFO] [1340027464.227628581, 1339759400.511073192]: camera pose: roll: -1.570000, pitch: 0.000000, yaw: -1.570000[0m
[0m[ INFO] [1340027464.227656458, 1339759400.511073192]: subscribing to 1 sources...[0m
[0m[ INFO] [1340027464.227786928, 1339759400.511073192]: subscribing to topic: /pioneer1/ar_pose_marker[0m
[0m[ INFO] [1340027464.231335981, 1339759400.511073192]: advertising topics...[0m
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000
26,0.000000,0.000000,0.000000
27,0.000000,0.000000,0.000000
28,0.000000,0.000000,0.000000
29,0.000000,0.000000,0.000000
30,0.000000,0.000000,0.000000
31,0.000000,0.000000,0.000000
32,0.000000,0.000000,0.000000
33,0.000000,0.000000,0.000000
34,0.000000,0.000000,0.000000
35,0.000000,0.000000,0.000000
36,0.000000,0.000000,0.000000
37,0.000000,0.000000,0.000000
38,0.000000,0.000000,0.000000
39,0.000000,0.000000,0.000000
40,0.000000,0.000000,0.000000
41,0.000000,0.000000,0.000000
42,0.000000,0.000000,0.000000
43,0.000000,0.000000,0.000000
44,0.000000,0.000000,0.000000
45,0.000000,0.000000,0.000000
46,0.000000,0.000000,0.000000
47,0.000000,0.000000,0.000000
48,0.000000,0.000000,0.000000
49,0.000000,0.000000,0.000000
50,0.000000,0.000000,0.000000
51,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
53,0.000000,0.000000,0.000000
54,0.000000,0.000000,0.000000
55,0.000000,0.000000,0.000000
56,-0.000000,-0.000000,-0.000000
57,-0.000000,-0.000000,-0.000000
58,0.001869,0.001869,0.001869
59,0.002862,0.002862,0.002862
60,0.004445,0.004445,0.004445
61,0.006119,0.006119,0.006119
62,0.007788,0.007788,0.007788
63,0.009472,0.009472,0.009472
64,0.011158,0.011158,0.011158
65,0.012840,0.012840,0.012840
66,0.014811,0.014811,0.014811
67,0.018809,0.018809,0.018809
68,0.022182,0.022182,0.022182
69,0.023857,0.023857,0.023857
70,0.028824,0.028824,0.028824
71,0.029910,0.029910,0.029910
72,0.031991,0.031991,0.031991
